County,Office,DemVotes,Total_Dem_Votes,Total_Dem_Percent,RepVotes,Total_Rep_Votes,Total_Rep_Percent,population,DemVotes2016,Total_Dem_Votes2016,Total_Dem_Percent2016,RepVotes2016,Total_Rep_Votes2016,Total_Rep_Percent2016,population2016,GreenVotes,Total_Votes_Green,LibVotes,Total_Lib_Votes,Total_TP_ExLibGreen,TV_EXLIBGREEN,TV_THIRDPARTY,TP_TV2016_EXLIBGREEN,GreenVotes16,Total_Votes_Green16,LibVotes16,Total_Votes_Lib16,White_Total,White_VA,Hispanic_Total,Hispanic_VA,Black_Total,Black_VA,Asian_Total,Asian_VA,AI_Total,AI_VA,population2017,population2018,population2016,population2019,percentbornNOTCO,percentbornCO,percentbornforeign,MHI_STATE,MHI,CountyDiffMHI,StateHSONLY,StateBAONLY,StateGRAD,StateHSPLUS,StateBAPLUS,CountyHSONLY,CountyBAONLY,CountyGRAD,CountyHSPLUS,CountyBAPLUS
KIOWA,President,98,1804352,0.554,795,1364607,0.419,1395,91,1338870,0.4816,728,1202484,0.4325,1343,0,8986,9,52460,1,26575,88021,11,1,38437,24,144121,0.901856764,0.915480018,0.082945014,0.066237942,0.006882214,0.008819476,0.003799556,0.004869086,0.004516453,0.004593477,1364,1373,1343,1395,0.375419745,0.615177972,0.006044325,72331,41731,-30600,0.214,0.256,0.153,0.917,0.409,0.356,0.151,0.063,0.957,0.214
KIT CARSON,President,662,1804352,0.554,3144,1364607,0.419,7128,536,1338870,0.4816,2967,1202484,0.4325,7639,2,8986,34,52460,29,26575,88021,88,16,38437,95,144121,0.785430704,0.82334155,0.190830766,0.152716751,0.01159745,0.010867002,0.00726488,0.007887686,0.004876201,0.005187011,7162,7165,7639,7128,0.32066604,0.602390224,0.07479522,72331,49349,-22982,0.214,0.256,0.153,0.917,0.409,0.376,0.118,0.069,0.895,0.187
LAKE,President,2303,1804352,0.554,1497,1364607,0.419,8081,1616,1338870,0.4816,1270,1202484,0.4325,7535,23,8986,101,52460,37,26575,88021,62,78,38437,173,144121,0.602726134,0.661528487,0.369069915,0.308452873,0.010517569,0.010324986,0.006784328,0.008363725,0.010902055,0.011329929,7710,7787,7535,8081,0.506128242,0.378531802,0.093923365,72331,50565,-21766,0.214,0.256,0.153,0.917,0.409,0.258,0.236,0.087,0.837,0.323
LA PLATA,President,20548,1804352,0.554,14233,1364607,0.419,56272,15525,1338870,0.4816,12587,1202484,0.4325,55414,128,8986,530,52460,228,26575,88021,495,665,38437,1878,144121,0.79375549,0.816244476,0.128692983,0.10933858,0.008024346,0.006737137,0.008345533,0.007942243,0.061181648,0.059737564,55646,56371,55414,56272,0.593793265,0.367729291,0.027096032,72331,68685,-3646,0.214,0.256,0.153,0.917,0.409,0.2,0.277,0.165,0.955,0.442
LARIMER,President,126120,1804352,0.554,91489,1364607,0.419,356938,93113,1338870,0.4816,83430,1202484,0.4325,339182,727,8986,4089,52460,1913,26575,88021,4725,3203,38437,11510,144121,0.838029569,0.859288309,0.116431384,0.097625432,0.013635424,0.01214253,0.026458077,0.025596738,0.005445546,0.005346991,344267,350842,339182,356938,0.532219986,0.400051046,0.055930345,72331,71881,-450,0.214,0.256,0.153,0.917,0.409,0.19,0.28,0.192,0.959,0.473
LAS ANIMAS,President,3497,1804352,0.554,4284,1364607,0.419,14493,2650,1338870,0.4816,3710,1202484,0.4325,14073,17,8986,86,52460,77,26575,88021,120,62,38437,251,144121,0.542876611,0.569922214,0.412453799,0.385533863,0.019739967,0.019106058,0.010806049,0.010901942,0.014123574,0.014535923,14209,14493,14073,14493,0.393873545,0.541006589,0.053483808,72331,41817,-30514,0.214,0.256,0.153,0.917,0.409,0.295,0.124,0.072,0.879,0.195
LINCOLN,President,470,1804352,0.554,2135,1364607,0.419,5692,409,1338870,0.4816,1892,1202484,0.4325,5552,1,8986,26,52460,19,26575,88021,49,9,38437,77,144121,0.786891624,0.779420238,0.137804188,0.134258233,0.056363186,0.065422632,0.010522779,0.01130269,0.008418223,0.009596206,5526,5591,5552,5692,0.353267681,0.597493286,0.043688451,72331,47258,-25073,0.214,0.256,0.153,0.917,0.409,0.545,0.087,0.039,0.909,0.126
LOGAN,President,2218,1804352,0.554,8087,1364607,0.419,21914,1851,1338870,0.4816,7282,1202484,0.4325,21963,16,8986,139,52460,72,26575,88021,205,65,38437,319,144121,0.777059456,0.785771856,0.165264338,0.152629591,0.03877565,0.042367675,0.008876078,0.009311081,0.010024478,0.009919796,21864,21816,21963,21914,0.352189455,0.593744415,0.044861483,72331,53318,-19013,0.214,0.256,0.153,0.917,0.409,0.337,0.139,0.063,0.896,0.202
MESA,President,31536,1804352,0.554,56894,1364607,0.419,154933,21729,1338870,0.4816,49779,1202484,0.4325,150321,188,8986,1306,52460,699,26575,88021,1759,712,38437,3675,144121,0.821417587,0.844352571,0.148107314,0.126149804,0.010917997,0.009379293,0.01129428,0.011594019,0.008262823,0.008524313,151965,153722,150321,154933,0.459680726,0.490576519,0.041344284,72331,55379,-16952,0.214,0.256,0.153,0.917,0.409,0.276,0.184,0.098,0.905,0.282
MINERAL,President,317,1804352,0.554,427,1364607,0.419,764,237,1338870,0.4816,344,1202484,0.4325,757,0,8986,3,52460,9,26575,88021,18,11,38437,42,144121,0.913549801,0.931500163,0.068091519,0.055157826,0.009316345,0.002603319,0.003425127,0.004067686,0.005617208,0.006671006,754,774,757,764,0.640776699,0.345873786,0.013349515,72331,62188,-10143,0.214,0.256,0.153,0.917,0.409,0.158,0.304,0.161,0.974,0.465
